step,epoch,loss,lm,cls,rec,dist,ahead,lr
1,0,1.4861068725585938,1.3818724155426025,0.665291965007782,0.5553674697875977,0.0,0.19873832166194916,1.9999896186455852e-05
2,0,2.656898021697998,2.568708658218384,0.6781123280525208,0.2649909555912018,7.709770670771832e-07,0.14256791770458221,1.9999584748092293e-05
3,0,2.206744909286499,2.124244213104248,0.6300326585769653,0.22657546401023865,1.0885465826504515e-06,0.16337363421916962,1.9999065691715965e-05
4,0,2.024505853652954,1.9339163303375244,0.6375947594642639,0.37694022059440613,1.3294524023876875e-06,0.15965799987316132,1.9998339028671094e-05
5,0,1.6635364294052124,1.58712899684906,0.5806721448898315,0.1960887461900711,1.4042244629308698e-06,0.17071421444416046,1.9997404774839252e-05
6,0,1.9501368999481201,1.8433064222335815,0.8384659886360168,0.3256908357143402,1.610016738595732e-06,0.13398733735084534,1.999626295063901e-05
7,0,2.0841410160064697,2.01698637008667,0.5587036609649658,0.12127267569303513,1.5328088238675264e-06,0.10441511869430542,1.999491358102548e-05
8,0,2.3809571266174316,2.3547990322113037,,0.3534626066684723,1.686823111413105e-06,0.16970227658748627,1.9993356695489792e-05
9,0,1.2351492643356323,1.1691840887069702,0.5540728569030762,0.0785730704665184,1.8497410110285273e-06,0.13258464634418488,1.999159232805843e-05
10,0,1.6433783769607544,1.570733904838562,0.49122923612594604,0.29372841119766235,1.7610893792152638e-06,0.17670190334320068,1.9989620517292498e-05
11,0,2.0631608963012695,1.9975172281265259,0.4653734266757965,0.23327568173408508,1.917904910442303e-06,0.1488555669784546,1.9987441306286873e-05
12,0,2.06054949760437,2.0028886795043945,0.4415779411792755,0.07970837503671646,1.8694746586334077e-06,0.190351203083992,1.9985054742669263e-05
13,0,1.672377109527588,1.6099077463150024,0.4445537328720093,0.20766013860702515,2.232851556982496e-06,0.1526193618774414,1.9982460878599166e-05
14,0,1.24131441116333,1.1894088983535767,0.41191035509109497,0.07018990814685822,1.9985927792731673e-06,0.1441010981798172,1.9979659770766737e-05
15,0,1.7386656999588013,1.6821385622024536,0.37948641180992126,0.23242296278476715,2.1049604583822656e-06,0.13914930820465088,1.997665148039154e-05
16,0,1.6305588483810425,1.5697206258773804,0.38850000500679016,0.25202882289886475,2.0743420918734046e-06,0.18773455917835236,1.9973436073221214e-05
17,0,2.2990903854370117,2.1519415378570557,1.2443921566009521,0.2826973497867584,2.420564896965516e-06,0.1714966893196106,1.9970013619530037e-05
18,0,2.4582903385162354,2.409528970718384,0.32092157006263733,0.19114749133586884,2.3279521883523557e-06,0.14223413169384003,1.996638419411739e-05
19,0,1.8373386859893799,1.7965794801712036,0.321698397397995,0.044909846037626266,2.467625790814054e-06,0.1268763244152069,1.9962547876306107e-05
20,0,2.098923683166504,1.9462441205978394,1.3195407390594482,0.25204986333847046,2.4945256882347167e-06,0.1624571532011032,1.9958504749940776e-05
21,0,2.1464858055114746,1.9962857961654663,1.35819411277771,0.15053920447826385,2.547572194089298e-06,0.1370772421360016,1.9954254903385877e-05
22,0,2.0205984115600586,1.8731998205184937,1.3754305839538574,0.07283394038677216,2.7335620416124584e-06,0.12427694350481033,1.9949798429523853e-05
23,0,1.677344799041748,1.6366225481033325,0.28855693340301514,0.06170794367790222,2.669882860573125e-06,0.17562361061573029,1.99451354257531e-05
24,0,2.0893850326538086,1.9295367002487183,1.4927586317062378,0.10839544236660004,2.7222743028687546e-06,0.10305487364530563,1.9940265993985812e-05
25,0,1.2922765016555786,1.2831010818481445,,0.047622259706258774,2.815652578647132e-06,0.13588707149028778,1.993519024064577e-05
26,0,1.5247842073440552,1.382819652557373,1.3402254581451416,0.0386517234146595,3.0620769848610507e-06,0.12018492072820663,1.9929908276666025e-05
27,0,2.451521158218384,2.4163177013397217,0.237077996134758,0.08088471740484238,2.6629832063918e-06,0.14902669191360474,1.9924420217486443e-05
28,0,1.6856131553649902,1.6770195960998535,,0.060816019773483276,2.9954799174447544e-06,0.11105381697416306,1.9918726183051207e-05
29,0,1.5636318922042847,1.5512510538101196,,0.10172957181930542,2.940854983535246e-06,0.1458876132965088,1.991282629780619e-05
30,0,1.8552743196487427,1.8453037738800049,,0.04598664119839668,3.1315792057284852e-06,0.15342183411121368,1.990672069069624e-05
31,0,1.4368774890899658,1.4037768840789795,0.23351722955703735,0.06531955301761627,2.9960128813399933e-06,0.12965627014636993,1.9900409495162344e-05
32,0,1.665053129196167,1.4874228239059448,1.6485466957092285,0.09881000220775604,3.147896222799318e-06,0.1567007452249527,1.9893892849138726e-05
33,0,1.8942261934280396,1.7462579011917114,1.4096852540969849,0.04012085869908333,3.227671868444304e-06,0.09987232834100723,1.9887170895049842e-05
34,0,2.2276415824890137,2.0828394889831543,1.3674906492233276,0.046544332057237625,3.4169522677984787e-06,0.11451827734708786,1.9880243779807236e-05
35,0,1.9337000846862793,1.9033527374267578,0.21855080127716064,0.04081803560256958,2.907248926931061e-06,0.1290275603532791,1.987311165480636e-05
36,0,1.3936394453048706,1.3615425825119019,0.21986307203769684,0.05202116817235947,3.169920546497451e-06,0.15018729865550995,1.986577467592325e-05
37,0,2.6168878078460693,2.5810351371765137,0.2782426178455353,0.041968584060668945,3.4157226309616817e-06,0.11860468238592148,1.9858233003511124e-05
38,0,1.8153698444366455,1.7805777788162231,0.23504289984703064,0.07737945765256882,3.488026095510577e-06,0.14837512373924255,1.9850486802396873e-05
39,0,1.0554156303405762,1.019088625907898,0.2610681354999542,0.06369302421808243,3.3496282867417904e-06,0.1407063752412796,1.9842536241877465e-05
40,0,1.167556643486023,1.1301896572113037,0.2110806405544281,0.17072397470474243,3.111720616288949e-06,0.15445323288440704,1.9834381495716243e-05
41,0,2.5931124687194824,2.5608322620391846,0.23505477607250214,0.0579511858522892,3.412545311221038e-06,0.1175452172756195,1.9826022742139118e-05
42,0,1.504077672958374,1.3334956169128418,1.6061315536499023,0.05965706706047058,3.550322162482189e-06,0.1397172510623932,1.981746016383069e-05
43,0,1.3204251527786255,1.284523367881775,0.22162891924381256,0.13603296875953674,3.2189645935432054e-06,0.13874298334121704,1.9808693947930245e-05
44,0,1.3890724182128906,1.3560577630996704,0.2290748506784439,0.0711665004491806,3.228855803172337e-06,0.13097620010375977,1.9799724286027663e-05
45,0,1.941312313079834,1.908823847770691,0.21613261103630066,0.09066561609506607,3.008533212778275e-06,0.12683549523353577,1.9790551374159236e-05
46,0,1.5573475360870361,1.5244641304016113,0.22327552735805511,0.0909884124994278,3.242854290874675e-06,0.12012831121683121,1.9781175412803385e-05
47,0,1.3277201652526855,1.2949316501617432,0.23185668885707855,0.08567265421152115,3.3641849768173415e-06,0.10638224333524704,1.9771596606876272e-05
48,0,2.0264713764190674,1.8698680400848389,1.4159631729125977,0.1680140197277069,3.457938873907551e-06,0.1321282982826233,1.9761815165727328e-05
49,0,1.5093231201171875,1.4755618572235107,0.20740275084972382,0.11546008288860321,3.217598759874818e-06,0.1449584662914276,1.9751831303134675e-05
50,0,2.115532875061035,1.9775733947753906,1.2998205423355103,0.0566507913172245,3.4139270610467065e-06,0.10289444029331207,1.9741645237300448e-05
51,0,2.1694486141204834,2.048369884490967,1.1395083665847778,0.03703248128294945,3.7228819564916193e-06,0.1055305004119873,1.9731257190846038e-05
52,0,1.6851439476013184,1.5426026582717896,1.3396579027175903,0.041062187403440475,3.563604423106881e-06,0.13044299185276031,1.9720667390807218e-05
53,0,1.1739487648010254,1.142086148262024,0.21899811923503876,0.06071246787905693,3.4173312997154426e-06,0.1385398656129837,1.970987606862918e-05
54,0,1.5089884996414185,1.4688427448272705,0.2439769059419632,0.16721875965595245,3.4743773085210705e-06,0.14773789048194885,1.969888346016149e-05
55,0,1.9860320091247559,1.8575063943862915,1.1702756881713867,0.08314578980207443,3.6309163533587707e-06,0.1468132734298706,1.9687689805652902e-05
56,0,1.3634147644042969,1.2140520811080933,1.4116743803024292,0.03551526740193367,3.6895064567943336e-06,0.12838895618915558,1.9676295349746155e-05
57,0,1.7386176586151123,1.618951439857483,1.0778388977050781,0.09728767722845078,3.777330448428984e-06,0.1403563767671585,1.966470034147258e-05
58,0,2.0999059677124023,2.060450315475464,0.2841331362724304,0.10428774356842041,3.3484407140349504e-06,0.1165601834654808,1.965290503424668e-05
